File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR	EntrezIDs
ENCFF946CSJ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EAJ	TF ChIP-seq	/human-donors/ENCDO000ACA/	EFO:0002785	GM12891	cell line	Homo sapiens										POLR2A-human	DNA						2011-10-29	ENCODE		see document		1, 2, 3, 4, 5, 6	1_1, 2_1, 3_1, 4_1, 5_1, 6_1							/files/ENCFF306UFQ/, /files/ENCFF046OHO/, /files/ENCFF807TIP/, /files/ENCFF726GUM/, /files/ENCFF356LFX/, /files/ENCFF890VUI/, /files/ENCFF936BHK/, /files/ENCFF428YQS/, /files/ENCFF606HMW/	517901	ENCODE Processing Pipeline	2a192dc511e4dde80e5a9ca4bbdb4c4a		https://www.encodeproject.org/files/ENCFF946CSJ/@@download/ENCFF946CSJ.bed.gz				released	s3://encode-public/2020/12/26/9625cc8a-ca71-483e-9881-160fb74c58f0/ENCFF946CSJ.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, low read depth, borderline replicate concordance	insufficient read length, insufficient read depth	extremely low read depth	5430
ENCFF029ZNV	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR843ZUP	TF ChIP-seq	/human-donors/ENCDO000AAW/	CL:0002319	neural cell	in vitro differentiated cells	Homo sapiens										EP300-human	DNA						2014-07-07	ENCODE			450-650	1, 2	1_1, 1_2, 2_1							/files/ENCFF490PSX/, /files/ENCFF613HJS/, /files/ENCFF055IKF/, /files/ENCFF203IFF/, /files/ENCFF356LFX/	804792	ENCODE Processing Pipeline	17c6ca76156dca7fdd5e34e6b8795826		https://www.encodeproject.org/files/ENCFF029ZNV/@@download/ENCFF029ZNV.bed.gz				released	s3://encode-public/2020/12/01/dd0eb086-d126-409d-b183-390cf3580333/ENCFF029ZNV.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, moderate library complexity, antibody characterized with exemption	poor library complexity, severe bottlenecking		2033
ENCFF164RIU	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR084RDK	TF ChIP-seq	/human-donors/ENCDO352AAA/	EFO:0002167	DOHH2	cell line	Homo sapiens										CTCF-human	DNA						2014-07-11	ENCODE		sonication (generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF690TTU/, /files/ENCFF190FPA/, /files/ENCFF268BRJ/, /files/ENCFF444JLL/	1099992	ENCODE Processing Pipeline	c378c4dc49f1210e4dcd4fb9628e8493		https://www.encodeproject.org/files/ENCFF164RIU/@@download/ENCFF164RIU.bed.gz				released	s3://encode-public/2020/10/10/3f789fd5-4d2e-4eb7-bd94-af6060c08085/ENCFF164RIU.bed.gz	ENCODE4 v1.5.1 GRCh38	released	low read depth, mild to moderate bottlenecking, low read length, antibody characterized with exemption	poor library complexity, severe bottlenecking		10664
ENCFF165QGE	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR680OFU	TF ChIP-seq	/human-donors/ENCDO000AAB/	EFO:0002791	HeLa-S3	cell line	Homo sapiens										EP300-human	DNA						2014-07-07	ENCODE			150-350	1, 2	1_1, 2_1							/files/ENCFF350CVX/, /files/ENCFF356LFX/, /files/ENCFF633TTB/, /files/ENCFF172RXS/, /files/ENCFF190YLP/	386010	ENCODE Processing Pipeline	4aa4e7f8e699afe1614cf50946597364		https://www.encodeproject.org/files/ENCFF165QGE/@@download/ENCFF165QGE.bed.gz				released	s3://encode-public/2020/12/03/96994eb7-c496-4af1-a834-efbf924114d4/ENCFF165QGE.bed.gz	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance, low read depth, low read length, antibody characterized with exemption			2033
ENCFF553GPK	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR991ELG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SP1-human	DNA						2014-07-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF600FDY/, /files/ENCFF356LFX/, /files/ENCFF037WIZ/, /files/ENCFF970CZZ/, /files/ENCFF948YCQ/, /files/ENCFF822ODT/, /files/ENCFF936FZX/	224618	ENCODE Processing Pipeline	fc59a583a0ed49bf82c5bd5c159b7025		https://www.encodeproject.org/files/ENCFF553GPK/@@download/ENCFF553GPK.bed.gz				released	s3://encode-public/2020/12/06/6ceae8f7-4a8a-4a03-a030-3b735ee5edbe/ENCFF553GPK.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, mild to moderate bottlenecking			6667
ENCFF652DIB	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR636YLV	TF ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens										MAZ-human	DNA						2014-07-07	ENCODE			150-350	2, 3	2_1, 3_1							/files/ENCFF682VRL/, /files/ENCFF356LFX/, /files/ENCFF821HQW/, /files/ENCFF968ZQN/, /files/ENCFF866TZT/, /files/ENCFF302AJZ/, /files/ENCFF020APM/	69737	ENCODE Processing Pipeline	95f0ae2548c45f4150c579b85fc477ea		https://www.encodeproject.org/files/ENCFF652DIB/@@download/ENCFF652DIB.bed.gz				released	s3://encode-public/2020/12/07/95a7f10a-bf68-45f5-9346-a5f77c008bad/ENCFF652DIB.bed.gz	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance, low read depth, low read length, antibody characterized with exemption			4150
ENCFF584QFY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR124BJR	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										ETV6-human	DNA						2014-07-07	ENCODE			150-350	1, 2	1_1, 2_1							/files/ENCFF770DAN/, /files/ENCFF366IFJ/, /files/ENCFF005NXS/, /files/ENCFF356LFX/, /files/ENCFF253OGH/	46366	ENCODE Processing Pipeline	d5eedcafc74f619ebd8af31068b52ae1		https://www.encodeproject.org/files/ENCFF584QFY/@@download/ENCFF584QFY.bed.gz				released	s3://encode-public/2020/12/04/2b1adf2a-b123-4ac9-b149-b0410e1a4dc7/ENCFF584QFY.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, borderline replicate concordance			2120
ENCFF992IBT	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR974OFJ	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										KLF5-human	DNA						2014-07-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF783FZL/, /files/ENCFF561BLF/, /files/ENCFF634WBE/, /files/ENCFF356LFX/, /files/ENCFF526WYZ/	192014	ENCODE Processing Pipeline	dc15cbfb65e6b5e2e9eb66c5563b2395		https://www.encodeproject.org/files/ENCFF992IBT/@@download/ENCFF992IBT.bed.gz				released	s3://encode-public/2020/12/03/275093c7-5b46-4b27-a32f-ccfc94ace0d1/ENCFF992IBT.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking	partially characterized antibody		688
ENCFF787BQX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR756ZKG	TF ChIP-seq	/human-donors/ENCDO355AAA/	EFO:0006710	OCI-LY3	cell line	Homo sapiens										CTCF-human	DNA						2014-07-11	ENCODE		sonication (generic), none	300-600, 200-600	1, 2	1_1, 2_1							/files/ENCFF027KUW/, /files/ENCFF360MVP/, /files/ENCFF356LFX/, /files/ENCFF581DCV/, /files/ENCFF549FVA/	931135	ENCODE Processing Pipeline	ffc543cdfdba02d8f1d61acfb958797a		https://www.encodeproject.org/files/ENCFF787BQX/@@download/ENCFF787BQX.bed.gz				released	s3://encode-public/2020/10/10/aeea51fc-7c0b-4fbf-bcb2-63bab2a493b4/ENCFF787BQX.bed.gz	ENCODE4 v1.5.1 GRCh38	released	low read depth, low read length, antibody characterized with exemption			10664
ENCFF753LKY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR924TVL	TF ChIP-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens										RFX5-human	DNA						2014-07-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF252WBZ/, /files/ENCFF756SZH/, /files/ENCFF612QJN/, /files/ENCFF105TAP/, /files/ENCFF356LFX/, /files/ENCFF346AUF/, /files/ENCFF220TQP/	177544	ENCODE Processing Pipeline	b51246d03814679d3fbb46f8a28a04f7		https://www.encodeproject.org/files/ENCFF753LKY/@@download/ENCFF753LKY.bed.gz				released	s3://encode-public/2020/12/30/05eb184a-5f83-4fd1-a20e-e27ea4d83b88/ENCFF753LKY.bed.gz	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption			5993
ENCFF320KEW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR761LRR	TF ChIP-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens										ZNF512B-human	DNA						2017-09-28	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF941KSO/, /files/ENCFF220TQP/, /files/ENCFF754SSR/, /files/ENCFF356LFX/, /files/ENCFF756SZH/	93264	ENCODE Processing Pipeline	d5acff773eea3af468cae2f2fc72edf3		https://www.encodeproject.org/files/ENCFF320KEW/@@download/ENCFF320KEW.bed.gz				released	s3://encode-public/2020/12/03/963098a6-4308-4436-8fe5-5080064198cf/ENCFF320KEW.bed.gz	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption			57473
ENCFF854NOE	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR117KWH	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										ZNF207-human	DNA						2014-07-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF783FZL/, /files/ENCFF634UNM/, /files/ENCFF526WYZ/, /files/ENCFF184HZS/, /files/ENCFF356LFX/	200391	ENCODE Processing Pipeline	32505e6a67af2276e9f74c92acc18610		https://www.encodeproject.org/files/ENCFF854NOE/@@download/ENCFF854NOE.bed.gz				released	s3://encode-public/2020/11/28/67e318b8-80f4-45c6-ab96-8197dbbc53e1/ENCFF854NOE.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, borderline replicate concordance, antibody characterized with exemption			7756
ENCFF734FBR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR725ELR	TF ChIP-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens										LARP7-human	DNA						2017-05-17	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF352CJI/, /files/ENCFF864SPH/, /files/ENCFF036EEV/, /files/ENCFF918CII/, /files/ENCFF356LFX/	8227	ENCODE Processing Pipeline	66b73411a71bef724e3a24da46621f0b		https://www.encodeproject.org/files/ENCFF734FBR/@@download/ENCFF734FBR.bed.gz				released	s3://encode-public/2020/12/02/14db612e-07d3-4e67-a76c-66329ba81c1d/ENCFF734FBR.bed.gz	ENCODE4 v1.6.1 GRCh38	released				51574
ENCFF559ODJ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR376WCJ	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										IRF2-human	DNA						2014-07-07	ENCODE			150-350	1, 3	1_1, 3_1							/files/ENCFF005NXS/, /files/ENCFF326KVZ/, /files/ENCFF279VZX/, /files/ENCFF253OGH/, /files/ENCFF356LFX/	162132	ENCODE Processing Pipeline	aee39e1b2346cf64543cd88469586717		https://www.encodeproject.org/files/ENCFF559ODJ/@@download/ENCFF559ODJ.bed.gz				released	s3://encode-public/2020/12/01/21e234d9-288b-4b28-9049-b5bf6d3879ae/ENCFF559ODJ.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length			3660
ENCFF390AZA	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR277OOQ	TF ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens										ZC3H11A-human	DNA						2014-07-07	ENCODE			450-650	2, 3	2_1, 3_1							/files/ENCFF011CLH/, /files/ENCFF356LFX/, /files/ENCFF702YCY/, /files/ENCFF670HHF/, /files/ENCFF041EOD/, /files/ENCFF646ZPF/, /files/ENCFF489JCA/	148228	ENCODE Processing Pipeline	58abecdd66d89098aa6d6dcda3513ba0		https://www.encodeproject.org/files/ENCFF390AZA/@@download/ENCFF390AZA.bed.gz				released	s3://encode-public/2020/12/08/e9c1fe99-6382-405a-be06-acf9251b5d4e/ENCFF390AZA.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, antibody characterized with exemption			9877
ENCFF647RGI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR128KLX	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/NR2F6-human/				NR2F6-human	DNA				formaldehyde		2020-07-08	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF356LFX/, /files/ENCFF427XRZ/, /files/ENCFF954MPW/	47254	ENCODE Processing Pipeline	868a5c41b6325d56edd3dac6a2f08a79		https://www.encodeproject.org/files/ENCFF647RGI/@@download/ENCFF647RGI.bed.gz				released	s3://encode-public/2020/07/02/225a2136-410b-485f-8d68-7ad0be84912b/ENCFF647RGI.bed.gz	ENCODE4 v1.4.0 GRCh38	released	mild to moderate bottlenecking			2063
ENCFF664TYB	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR072PWP	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										ZNF24-human	DNA						2017-06-26	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF232AKP/, /files/ENCFF377KFK/, /files/ENCFF356LFX/, /files/ENCFF928WUT/, /files/ENCFF659BAL/	310660	ENCODE Processing Pipeline	c0f09d1561061e5e6791bcd06de06892		https://www.encodeproject.org/files/ENCFF664TYB/@@download/ENCFF664TYB.bed.gz				released	s3://encode-public/2020/11/29/5846d915-f51b-4b07-b515-b7ea93231949/ENCFF664TYB.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, antibody characterized with exemption			7572
ENCFF479QQB	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR514VAY	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										HCFC1-human	DNA						2014-07-07	ENCODE			150-350	1, 2	1_1, 2_1							/files/ENCFF500GXC/, /files/ENCFF516MCF/, /files/ENCFF402BOP/, /files/ENCFF049MIZ/, /files/ENCFF356LFX/	166233	ENCODE Processing Pipeline	0eb0e0c56d34cf9ba93564255336c61b		https://www.encodeproject.org/files/ENCFF479QQB/@@download/ENCFF479QQB.bed.gz				released	s3://encode-public/2020/12/01/2beb3bae-7361-4ada-a6fb-d8c60b9456b3/ENCFF479QQB.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length			3054
ENCFF689XUB	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR219MKK	TF ChIP-seq	/human-donors/ENCDO000AAB/	EFO:0002791	HeLa-S3	cell line	Homo sapiens										DEK-human	DNA						2016-04-21	ENCODE			150-350	1, 2	1_1, 2_1							/files/ENCFF172RXS/, /files/ENCFF356LFX/, /files/ENCFF190YLP/, /files/ENCFF322ZXJ/, /files/ENCFF502FEG/	164358	ENCODE Processing Pipeline	23f92a57704e853ed9fb8d29f1551c2d		https://www.encodeproject.org/files/ENCFF689XUB/@@download/ENCFF689XUB.bed.gz				released	s3://encode-public/2020/12/04/6eb05ce5-ac16-4968-9a6c-0e73ccdc46b6/ENCFF689XUB.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length			7913
ENCFF884UOX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR673SGK	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	/targets/BCL6B-human/				BCL6B-human	DNA				formaldehyde		2017-05-17	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF713QSG/, /files/ENCFF031UZD/, /files/ENCFF036EBY/, /files/ENCFF350INM/, /files/ENCFF393TSW/, /files/ENCFF441UHZ/, /files/ENCFF852BFO/, /files/ENCFF300ATN/	162675	ENCODE Processing Pipeline	df2758d3c8a47cb043b90ab68b3bcc0d		https://www.encodeproject.org/files/ENCFF884UOX/@@download/ENCFF884UOX.bed.gz				released	s3://encode-public/2020/08/04/bbdf7f07-14aa-4c2a-9da8-49c727586c2e/ENCFF884UOX.bed.gz	ENCODE4 v1.5.1 GRCh38	released	missing genetic modification characterization, missing biosample characterization			255877
ENCFF191GQE	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BUE	TF ChIP-seq	/human-donors/ENCDO000ACV/	EFO:0005718	Ishikawa	cell line	Homo sapiens										EP300-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF646PKB/, /files/ENCFF403CIU/, /files/ENCFF938JBJ/, /files/ENCFF356LFX/, /files/ENCFF311JZC/	403668	ENCODE Processing Pipeline	f7423f55fe68a659b6b36ddc4e1acdc7		https://www.encodeproject.org/files/ENCFF191GQE/@@download/ENCFF191GQE.bed.gz				released	s3://encode-public/2020/12/26/5bcd3e98-990c-44a0-a0c3-ba035f7c9ef9/ENCFF191GQE.bed.gz	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance			2033
ENCFF565XMS	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR330ADN	TF ChIP-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens										DDX20-human	DNA						2017-06-29	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF352CJI/, /files/ENCFF918CII/, /files/ENCFF628QAO/, /files/ENCFF217SKI/, /files/ENCFF356LFX/	44939	ENCODE Processing Pipeline	ebdf1fe157d1c5741a56edcdfe86069e		https://www.encodeproject.org/files/ENCFF565XMS/@@download/ENCFF565XMS.bed.gz				released	s3://encode-public/2021/02/04/f1e88285-1e3d-4067-a30c-76bce7e91170/ENCFF565XMS.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, borderline replicate concordance			11218
ENCFF465OQP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DUM	TF ChIP-seq	/human-donors/ENCDO232AAA/	EFO:0005710	HFF-Myc	cell line	Homo sapiens										CTCF-human	DNA						2012-01-17	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF937RAM/, /files/ENCFF144BRD/, /files/ENCFF356LFX/, /files/ENCFF460AFJ/	661445	ENCODE Processing Pipeline	9b3a2125952e44446a525e2b922235ec		https://www.encodeproject.org/files/ENCFF465OQP/@@download/ENCFF465OQP.bed.gz				released	s3://encode-public/2020/09/25/8301727b-541c-44ad-be5d-dfcd6980761c/ENCFF465OQP.bed.gz	ENCODE4 v1.5.1 GRCh38	released	low read depth, control low read depth, mild to moderate bottlenecking, low read length		missing control alignments	10664
ENCFF130WQT	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR059BWP	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/PHTF2-human/				PHTF2-human	DNA						2021-05-18	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF494KPY/, /files/ENCFF035KPN/, /files/ENCFF582IFQ/, /files/ENCFF356LFX/	32087	ENCODE Processing Pipeline	0fb608052257a5b898591df2c59e9cfb		https://www.encodeproject.org/files/ENCFF130WQT/@@download/ENCFF130WQT.bed.gz				released	s3://encode-public/2020/06/27/b8f97be3-f99c-4bc1-95ed-effc60869f5c/ENCFF130WQT.bed.gz	ENCODE4 v1.5.0 GRCh38	released	mild to moderate bottlenecking			57157
ENCFF042OEY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BSM	TF ChIP-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens										YY1-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF830FFS/, /files/ENCFF802NGE/, /files/ENCFF309OCP/, /files/ENCFF499VYQ/, /files/ENCFF899LDL/, /files/ENCFF804ZFN/	285420	ENCODE Processing Pipeline	c2c627fbab6bac4ce349e6d39a7f7096		https://www.encodeproject.org/files/ENCFF042OEY/@@download/ENCFF042OEY.bed.gz				released	s3://encode-public/2020/07/06/931d7bd6-cabc-4168-a734-b5040ab788dd/ENCFF042OEY.bed.gz	ENCODE4 v1.4.0 GRCh38	released	low read depth, mild to moderate bottlenecking			7528
ENCFF093KLR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR331HPA	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										GABPA-human	DNA						2014-06-30	ENCODE				1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF339NUH/, /files/ENCFF025AON/, /files/ENCFF305BPN/, /files/ENCFF526CAL/, /files/ENCFF691UEA/	257527	ENCODE Processing Pipeline	11412bed6e2135fce66a1de7da6f4241		https://www.encodeproject.org/files/ENCFF093KLR/@@download/ENCFF093KLR.bed.gz				released	s3://encode-public/2020/12/30/5fd3b09f-fe43-4a9f-b9c6-f753829e3809/ENCFF093KLR.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, inconsistent platforms, mild to moderate bottlenecking, antibody characterized with exemption			2551
ENCFF258AZW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BSL	TF ChIP-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens										TCF12-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF830FFS/, /files/ENCFF400GZE/, /files/ENCFF802NGE/, /files/ENCFF309OCP/, /files/ENCFF356LFX/, /files/ENCFF499VYQ/, /files/ENCFF054DTZ/	1103815	ENCODE Processing Pipeline	fd687eb760cc8d255e42f58e93c043b2		https://www.encodeproject.org/files/ENCFF258AZW/@@download/ENCFF258AZW.bed.gz				released	s3://encode-public/2020/07/04/cacecc7f-8dcf-499d-8b03-62b8abf4e03b/ENCFF258AZW.bed.gz	ENCODE4 v1.4.0 GRCh38	released				6938
ENCFF835PIH	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR207WFD	TF ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens				CRISPR	insertion	/targets/HMGA2-human/				HMGA2-human	DNA						2021-05-18	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF840GLG/, /files/ENCFF970PML/, /files/ENCFF859HIP/, /files/ENCFF356LFX/	115309	ENCODE Processing Pipeline	8e37492c696830d1204c307e4b0c51de		https://www.encodeproject.org/files/ENCFF835PIH/@@download/ENCFF835PIH.bed.gz				released	s3://encode-public/2020/07/09/a79a27c0-b21b-4a26-a18c-6563631fe126/ENCFF835PIH.bed.gz	ENCODE4 v1.5.0 GRCh38	released	mild to moderate bottlenecking, moderate library complexity			8091
ENCFF488VNT	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR757EMK	TF ChIP-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens										SUZ12-human	DNA						2017-05-17	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF756SZH/, /files/ENCFF852IMV/, /files/ENCFF356LFX/, /files/ENCFF220TQP/, /files/ENCFF235USP/	98011	ENCODE Processing Pipeline	cd75cd48fef94de78b382045f1543a60		https://www.encodeproject.org/files/ENCFF488VNT/@@download/ENCFF488VNT.bed.gz				released	s3://encode-public/2020/12/02/86fcd0be-f0fc-4e8e-8ccd-e2c910cd5a41/ENCFF488VNT.bed.gz	ENCODE4 v1.6.1 GRCh38	released				23512
ENCFF894YJQ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BUB	TF ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens										CEBPB-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF149MYF/, /files/ENCFF356LFX/, /files/ENCFF131OTC/, /files/ENCFF634HDG/, /files/ENCFF342QZE/, /files/ENCFF715TRM/	529539	ENCODE Processing Pipeline	da77a354e02f35cbf5b62b5b38a64564		https://www.encodeproject.org/files/ENCFF894YJQ/@@download/ENCFF894YJQ.bed.gz				released	s3://encode-public/2020/12/26/9d6560dd-f879-4576-b3a6-cdcff5e19060/ENCFF894YJQ.bed.gz	ENCODE4 v1.6.1 GRCh38	released				1051
ENCFF834GOT	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EAC	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										RAD21-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF042LWY/, /files/ENCFF359ZRR/, /files/ENCFF644LKJ/, /files/ENCFF683ICJ/	576169	ENCODE Processing Pipeline	0edfbb44ab702e845e4225817f5f0512		https://www.encodeproject.org/files/ENCFF834GOT/@@download/ENCFF834GOT.bed.gz				released	s3://encode-public/2021/02/04/117f7355-9489-4240-88c4-08115044f9e0/ENCFF834GOT.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, borderline replicate concordance	insufficient read length		5885
